verse,ar,en,timestamps,
56:1,إِذَا وَقَعَتِ الْوَاقِعَةُ,"When the Occurrence occurs,",0:18.899,
56:2,لَيْسَ لِوَقْعَتِهَا كَاذِبَةٌ,"There is, at its occurrence, no denial.",0:21.728,
56:3,خَافِضَةٌ رَّافِعَةٌ,It will bring down [some] and raise up [others].,0:24.702,
56:4,إِذَا رُجَّتِ الْأَرْضُ رَجًّا,When the earth is shaken with convulsion,0:27.362,
56:5,وَبُسَّتِ الْجِبَالُ,"And the mountains are broken down,",0:30.457,
,بَسًّا,crumbling,0:32.186,
56:6,فَكَانَتْ هَبَاءً مُّنبَثًّا,"And become dust dispersing,",0:33.537,
56:7,وَكُنتُمْ أَزْوَجًا ثَلَثَةً,And you become [of] three kinds:,0:39.606,
56:8,فَأَصْحَبُ الْمَيْمَنَةِ,Then the companions of the right -,0:44.225,
,مَا أَصْحَبُ الْمَيْمَنَةِ,what are the companions of the right?,0:46.706,
56:9,وَأَصْحَبُ الْمَشْـَٔمَةِ,And the companions of the left -,0:49.617,
,مَا أَصْحَبُ الْمَشْـَٔمَةِ,what are companions of the left?,0:51.973,
56:10,وَالسَّبِقُونَ,"And the forerunners,",0:54.743,
,السَّبِقُونَ,the forerunners -,0:56.200,
56:11,أُولَئِكَ الْمُقَرَّبُونَ,Those are the ones brought near [to Allah],0:58.351,
56:12,فِى جَنَّتِ النَّعِيمِ,"In the Gardens of Pleasure,",1:02.582,
56:13,ثُلَّةٌ مِّنَ الْأَوَّلِينَ,A [large] company of the former peoples,1:06.040,
56:14,وَقَلِيلٌ مِّنَ الْءَاخِرِينَ,"And a few of the later peoples,",1:09.570,
56:15,عَلَى سُرُرٍ مَّوْضُونَةٍ,"On thrones woven [with ornament],",1:13.512,
56:16,مُّتَّكِـِٔينَ عَلَيْهَا,"Reclining on them,",1:16.897,
,مُتَقَبِلِينَ,facing each other.,1:19.013,
56:17,يَطُوفُ عَلَيْهِمْ وِلْدَنٌ مُّخَلَّدُونَ,There will circulate among them young boys made eternal.,1:21.491,
56:18,بِأَكْوَابٍ وَأَبَارِيقَ,"With vessels, pitchers",1:26.230,
,وَكَأْسٍ مِّن مَّعِينٍ,and a cup [of wine] from a flowing spring -,1:28.800,
56:19,لَّا يُصَدَّعُونَ عَنْهَا,"No headache will they have therefrom,",1:32.154,
,وَلَا يُنزِفُونَ,nor will they be intoxicated -,1:34.360,
56:20,وَفَكِهَةٍ مِّمَّا يَتَخَيَّرُونَ,And fruit of what they select,1:37.223,
,وَفَكِهَةٍ مِّمَّا يَتَخَيَّرُونَ,And fruit of what they select,1:42.320,
56:21,وَلَحْمِ طَيْرٍ,"And the meat of fowl,",1:47.276,
,مِّمَّا يَشْتَهُونَ,from whatever they desire.,1:49.413,
56:22,وَحُورٌ عِينٌ,"And [for them are] fair women with large, [beautiful] eyes,",1:52.803,
56:23,كَأَمْثَلِ اللُّؤْلُؤِ الْمَكْنُونِ,"The likenesses of pearls well-protected,",1:55.548,
56:24,جَزَاءً بِمَا كَانُوا يَعْمَلُونَ,As reward for what they used to do.,1:59.780,
56:25,لَا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein ill speech,2:04.907,
,وَلَا تَأْثِيمًا,or commission of sin -,2:08.080,
56:26,إِلَّا قِيلًا سَلَمًا,"Only a saying [of] peace,",2:10.325,
,سَلَمًا,peace.,2:14.666,
,,,2:16.651,
