Name	Start	Duration	Time Format	Type	Description
Marker 01	1:38.000	0:00.000	decimal	Cue	
CD Track 01	1:45.426	0:00.000	decimal	Track	
CD Track 02	1:52.840	0:00.000	decimal	Track	
CD Track 05	1:56.453	0:00.000	decimal	Track	
CD Track 22	1:59.693	0:00.000	decimal	Track	
CD Track 03	2:02.000	0:00.000	decimal	Track	
CD Track 06	2:06.253	0:00.000	decimal	Track	
CD Track 07	2:13.320	0:00.000	decimal	Track	
CD Track 09	2:14.653	0:00.000	decimal	Track	
CD Track 23	2:18.000	0:00.000	decimal	Track	
Marker 02	2:21.242	0:00.000	decimal	Cue	
CD Track 10	2:27.413	0:00.000	decimal	Track	
CD Track 12	2:32.506	0:00.000	decimal	Track	
CD Track 11	2:35.493	0:00.000	decimal	Track	
Marker 03	2:41.317	0:00.000	decimal	Cue	
CD Track 14	2:48.480	0:00.000	decimal	Track	
CD Track 15	2:56.066	0:00.000	decimal	Track	
CD Track 16	3:01.453	0:00.000	decimal	Track	
Marker 04	3:05.748	0:00.000	decimal	Cue	
CD Track 17	3:11.106	0:00.000	decimal	Track	
CD Track 24	3:12.986	0:00.000	decimal	Track	
CD Track 18	3:20.280	0:00.000	decimal	Track	
Marker 05	3:25.118	0:00.000	decimal	Cue	
CD Track 19	3:32.546	0:00.000	decimal	Track	
CD Track 20	3:35.946	0:00.000	decimal	Track	
CD Track 21	3:40.186	0:00.000	decimal	Track	
Marker 06	3:47.872	0:00.000	decimal	Cue	
